,ARIMA,ARFIMA,ETS,GSVR,MLPrelu,LSTM,RPSOELM,RF,EELM,Nbeats,RVFL,edRVFL,edRVFLFSLRPool,MARIMAedRVFL,AARIMAedRVFL,Ensemble
GSVR,0.4697265625,0.5185546875,0.423828125,1.0,0.2333984375,0.2333984375,0.02685546875,0.7333984375,0.5185546875,0.30126953125,0.17626953125,0.04248046875,0.02099609375,0.0341796875,0.00927734375,0.00244140625
MLPrelu,0.6220703125,0.5693359375,0.5185546875,0.2333984375,1.0,0.33935546875,0.1513671875,0.4697265625,0.2333984375,0.33935546875,0.04248046875,0.0771484375,0.00048828125,0.00244140625,0.00048828125,0.00048828125
RPSOELM,0.12939453125,0.0341796875,0.423828125,0.02685546875,0.1513671875,0.33935546875,1.0,0.0341796875,0.01220703125,0.38037109375,0.00048828125,0.00048828125,0.00048828125,0.0009765625,0.0009765625,0.00048828125
LSTM,0.7333984375,0.0771484375,0.7333984375,0.2333984375,0.33935546875,1.0,0.33935546875,0.1513671875,0.2333984375,0.5693359375,0.02685546875,0.00927734375,0.00048828125,0.0009765625,0.00048828125,0.00048828125
RF,0.423828125,0.85009765625,0.1513671875,0.7333984375,0.4697265625,0.1513671875,0.0341796875,1.0,0.5693359375,0.05224609375,0.1513671875,0.0341796875,0.00341796875,0.0009765625,0.00244140625,0.00048828125
ARIMA,1.0,0.0009765625,0.00146484375,0.4697265625,0.6220703125,0.7333984375,0.12939453125,0.423828125,0.26611328125,0.00048828125,0.0341796875,0.0068359375,0.00048828125,0.00048828125,0.00048828125,0.00048828125
ETS,0.00146484375,0.00048828125,1.0,0.423828125,0.5185546875,0.7333984375,0.423828125,0.1513671875,0.26611328125,0.05224609375,0.01611328125,0.0048828125,0.00048828125,0.00048828125,0.00048828125,0.00048828125
ARFIMA,0.0009765625,1.0,0.00048828125,0.5185546875,0.5693359375,0.0771484375,0.0341796875,0.85009765625,0.30126953125,0.00048828125,0.06396484375,0.0341796875,0.0009765625,0.00048828125,0.0009765625,0.00048828125
Nbeats,0.00048828125,0.00048828125,0.05224609375,0.30126953125,0.33935546875,0.5693359375,0.38037109375,0.05224609375,0.26611328125,1.0,0.00927734375,0.00244140625,0.00048828125,0.00048828125,0.00048828125,0.00048828125
EELM,0.26611328125,0.30126953125,0.26611328125,0.5185546875,0.2333984375,0.2333984375,0.01220703125,0.5693359375,1.0,0.26611328125,0.67724609375,0.04248046875,0.0341796875,0.0341796875,0.05224609375,0.00244140625
RVFL,0.0341796875,0.06396484375,0.01611328125,0.17626953125,0.04248046875,0.02685546875,0.00048828125,0.1513671875,0.67724609375,0.00927734375,1.0,0.0341796875,0.00048828125,0.00927734375,0.00927734375,0.00048828125
edRVFLFSLRPool,0.00048828125,0.0009765625,0.00048828125,0.02099609375,0.00048828125,0.00048828125,0.00048828125,0.00341796875,0.0341796875,0.00048828125,0.00048828125,0.09228515625,1.0,0.5693359375,0.7333984375,0.0009765625
edRVFL,0.0068359375,0.0341796875,0.0048828125,0.04248046875,0.0771484375,0.00927734375,0.00048828125,0.0341796875,0.04248046875,0.00244140625,0.0341796875,1.0,0.09228515625,0.20361328125,0.06396484375,0.00048828125
AARIMAedRVFL,0.00048828125,0.0009765625,0.00048828125,0.00927734375,0.00048828125,0.00048828125,0.0009765625,0.00244140625,0.05224609375,0.00048828125,0.00927734375,0.06396484375,0.7333984375,0.38037109375,1.0,0.00048828125
MARIMAedRVFL,0.00048828125,0.00048828125,0.00048828125,0.0341796875,0.00244140625,0.0009765625,0.0009765625,0.0009765625,0.0341796875,0.00048828125,0.00927734375,0.20361328125,0.5693359375,1.0,0.38037109375,0.00927734375
Ensemble,0.00048828125,0.00048828125,0.00048828125,0.00244140625,0.00048828125,0.00048828125,0.00048828125,0.00048828125,0.00244140625,0.00048828125,0.00048828125,0.00048828125,0.0009765625,0.00927734375,0.00048828125,1.0
